Aachener Str.|Wilmersdorf|10713|4513,8086
Aalemannufer|Spandau|13587|-2337,18300
Aalesunder Str.|Prenzlauer Berg|10439|10580,16543
Aarauer Str.|Lichterfelde|12205|2859,2055
Aarberger Str.|Lichterfelde|12205|3527,2081
Abajstr.|Rosenthal|13158|8738,19704
Abbestr.|Charlottenburg|10587|4780,12165
Abendrot (Kolonie)|Mariendorf|12109|10505,5085
Abendrotweg|Lichtenrade|12307|9587,-1449
Abendruh (Kolonie)|Charlottenburg|13627|3505,15153
Abendruh (Kolonie)|Lichterfelde|14167|2562,2105
Abram-Joffé-Str.|Adlershof|12489|19143,3196
Abramowitschallee (geplant)|Johannisthal|12487|18173,4108
Abstellbahnhof|Grunewald|14193|
Abtstr.|Adlershof|12489|19904,3502
Abtweiler Str.|Müggelheim|12559|28912,1284
Achardstr.|Kaulsdorf|12621|22483,10646
Achenbachstr.|Spandau|13585|-3233,14825
Achenseeweg|Lichterfelde|12209|5859,753
Achillesstr.|Karow|13125|16235,23537
Achtermannstr.|Pankow|13187|11642,19105
Achtrutenberg|Karow|13125|15345,23834
Ackerplanweg|Tegel|13509|3233,20984
Ackerstr.|Mitte|10115|9725,14151
Ackerstr.|Spandau|13585|-3718,15245
Ackerstr.|Wedding|13355|8825,14870
Adalbertstr.|Kreuzberg|10997|11581,10957
Adalbertstr.|Kreuzberg|10999|11581,10957
Adalbertstr.|Mitte|10179|11792,11370
Adam-von-Trott-Str.|Charlottenburg|13627|3860,15485
Adamstr.|Spandau|13595|-4035,12467
Adele-Sandrock-Str.|Hellersdorf|12627|24951,14708
Adele-Schreiber-Krieger-Str.|Mitte|10117|8546,12767
Adelheid-Poninska-Str.|Spandau|13591|-7460,13197
Adelheidallee|Tegel|13507|1657,20640
Adenauerplatz|Charlottenburg|10629|3830,10351
Adersleber Weg|Marzahn|12685|20954,14697
Adickesstr.|Spandau|13599|-1373,15672
Adlergestell|Adlershof|12489|19658,3707
Adlergestell|Grünau|12527|25943,-1651
