Aalsteig|Potsdam||-19584,4326
Ahornstr.|Potsdam||-8938,-2756
Albert-Einstein-Str.|Potsdam||-12245,-2864
Allee nach Glienicke|Potsdam||-10464,-907
Allee nach Sanssouci|Potsdam||-13811,-1072
Alleestr.|Potsdam||-12830,-64
Alt Drewitz|Potsdam||-8212,-5064
Alt Nowawes|Potsdam||-11187,-1955
Alter Tornow|Potsdam||-13991,-2865
Altes Rad|Potsdam||-17729,-426
Althoffstr.|Potsdam||-9988,-2132
Am Alten Friedhof|Potsdam||-11772,-2677
Am Alten Markt|Potsdam||-12684,-1428
Am Bahnhof|Potsdam||-18808,2241
Am Bassin|Potsdam||-12863,-921
Am Blinker|Potsdam||-19661,4436
Am Böttcherberg|Potsdam||-9654,175
Am Brunnen|Potsdam||-11769,-3277
Am Buchhorst|Potsdam||-9692,-5937
Am Bürohochhaus|Potsdam||-9395,-5020
Am Drachenberg|Potsdam||-15802,-300
Am Eichenhain|Potsdam||-17759,-682
Am Fenn|Potsdam||-10079,-4378
Am Försteracker|Potsdam||-10930,-4228
Am Friedhof|Potsdam||-7704,-5788
Am Gehölz|Potsdam||-8149,-2407
Am Golfplatz|Potsdam||-14444,2937
Am Großen Herzberg|Potsdam||-17506,444
Am Grünen Gitter|Potsdam||-14177,-1135
Am Grünen Weg|Potsdam||-16915,-721
Am Hämphorn|Potsdam||-9882,2781
Am Hang|Potsdam||-13138,1284
Am Havelblick|Potsdam||-12579,-2415
Am Heineberg|Potsdam||-17788,1427
Am Hirtengraben|Potsdam||-8035,-5105
Am Kanal|Potsdam||-12794,-1364
Am Klubhaus|Potsdam||-19605,4370
Am Klubhaus|Potsdam||-8853,-1754
Am Konsumplatz|Potsdam||-19639,4370
Am Küssel|Potsdam||-19516,2361
Am Luftschiffhafen|Potsdam||-15703,-3687
Am Mittelbusch|Potsdam||-8614,-3438
Am Moosfenn|Potsdam||-10716,-5257
Am Neuen Garten|Potsdam||-12648,62
Am Neuen Markt|Potsdam||-12995,-1512
Am Neuen Palais|Potsdam||-15930,-747
Am Nuthetal|Potsdam||-10557,-3798
Am Pfingstberg|Potsdam||-13109,1174
Am Plantagenhaus|Potsdam||-10948,-3995
Am Raubfang|Potsdam||-15604,837
Am Reiherbusch|Potsdam||-13148,1429
Am Schlangenfenn|Potsdam||-10697,-5557
Am Schragen|Potsdam||-13292,370
Am Silbergraben|Potsdam||-7891,-5569
Am Sportplatz|Potsdam||-9196,-2349
Am Springbruch|Potsdam||-10742,-5680
Am Stadtrand|Potsdam||-9919,-4586
Am Stern|Potsdam||-8222,-3686
Am Tempelberg|Potsdam||-17091,-380
Am Vogelherd|Potsdam||-13988,2090
Am Waldrand|Potsdam||-9552,532
Am Weißen See|Potsdam||-14680,3233
Am Wiesenrain|Potsdam||-19484,4406
Am Wildpark|Potsdam||-16053,-1905
Am Windmühlenberg|Potsdam||-17607,786
Amtsstr.|Potsdam||-15390,1052
Amundsenstr.|Potsdam||-15763,-155
An den Windmühlen|Potsdam||-9987,-2587
An der Alten Zauche|Potsdam||-10651,-3878
An der Brauerei|Potsdam||-9396,-5776
An der Nuthe|Potsdam||-9502,-3944
An der Orangerie|Potsdam||-14608,-577
An der Parforceheide|Potsdam||-7702,-2320
An der Pirschheide|Potsdam||-15971,-3881
An der Sandscholle|Potsdam||-9121,-2392
An der Sternwarte|Potsdam||-10069,-566
An der Vorderkappe|Potsdam||-13319,-2841
Angermannstr.|Potsdam||-13741,2762
Anhaltstr.|Potsdam||-10039,-1944
Anni-von-Gottberg-Str.|Potsdam||-7619,-5186
Antikentempel|Potsdam||-15622,-874
Apfelweg|Potsdam||-14464,1314
Asta-Nielsen-Str.|Potsdam||-7311,-4102
Auf dem Kiewitt|Potsdam||-14109,-2334
August-Bebel-Str.|Potsdam||-8594,-1393
August-Bier-Str.|Potsdam||-9301,-1007
Babelsberg Nord|Potsdam||-10956,-372
Babelsberg Süd|Potsdam||-9531,-2623
Babelsberger Str.|Potsdam||-12228,-1842
Baberowweg|Potsdam||-9997,-2787
Bäckerstr.|Potsdam||-13325,-1307
Bahnhofsplatz|Potsdam||-12356,-1911
Bahnhofstr.|Potsdam||-8487,-2925
Baldurstr.|Potsdam||-9619,-1102
Bassinplatz|Potsdam||-12672,-939
Baumhaselring|Potsdam||-17319,-140
Baumschulenweg|Potsdam||-17544,-523
Bebraer Str.|Potsdam||-8419,-4101
Beethovenstr.|Potsdam||-8306,-2732
Beetzweg|Potsdam||-9512,-2956
Behlertstr.|Potsdam||-12313,-454
Behringstr.|Potsdam||-9725,-815
Bellavitestr.|Potsdam||-7577,-4841
Belvedere|Potsdam||-15691,-420
Bendastr.|Potsdam||-10361,-1783
Benkertstr.|Potsdam||-12756,-785
Benzstr.|Potsdam||-10175,-1935
Bergholzer Str.|Potsdam||-11729,-2421
Bergweg|Potsdam||-9629,-480
Berliner Str.|Potsdam||-12255,-1075
Berliner Vorstadt|Potsdam||-11587,370
Bernhard-Kellermann-Str.|Potsdam||-10446,-4341
Bertha-von-Suttner-Str.|Potsdam||-12649,-294
Bertinistr.|Potsdam||-12606,1928
Bertiniweg|Potsdam||-12778,2047
Bertolt-Brecht-Str.|Potsdam||-10161,-4724
Bettina-von-Arnim-Str.|Potsdam||-7690,-5021
Beyerstr.|Potsdam||-12822,268
Biberkiez|Potsdam||-10013,-3854
Biberweg|Potsdam||-9551,-3034
Binsenhof|Potsdam||-10554,-3598
Birkenhügel|Potsdam||-17645,-969
Birkenstr.|Potsdam||-12798,81
Birnenweg|Potsdam||-14446,1470
Bisamkiez|Potsdam||-10028,-3755
Blumenstr.|Potsdam||-15125,236
Blumenweg|Potsdam||-9485,-2177
Böcklinstr.|Potsdam||-11576,537
Bornim|Potsdam||-16462,1375
Bornstedt|Potsdam||-15030,1037
Bornstedter Feld|Potsdam||-13773,272
Bornstedter Str.|Potsdam||-14735,110
Brandenburger Str.|Potsdam||-13328,-1096
Brandenburger Tor|Potsdam||-13586,-1146
Brandenburger Vorstadt|Potsdam||-14630,-1244
Brauhausberg|Potsdam||-12982,-3068
Breite Str.|Potsdam||-13776,-1538
Breiter Weg|Potsdam||-16250,1646
Brentanoweg|Potsdam||-13592,-379
Bruno-H.-Bürgel-Str.|Potsdam||-10051,-1233
Burgstr.|Potsdam||-12494,-1436
Büringstr.|Potsdam||-7405,-4959
Caputher Heuweg|Potsdam||-10383,-5651
Carl-von-Ossietzky-Str.|Potsdam||-14537,-1520
Cecilienhof|Potsdam||-11981,1163
Charlottenhof|Potsdam||-15146,-1654
Charlottenstr.|Potsdam||-12832,-1109
Chinesisches Teehaus|Potsdam||-14836,-1114
Chopinstr.|Potsdam||-7687,-3165
Clara-Schuhmann-Str.|Potsdam||-7580,-5485
Clara-Zetkin-Str.|Potsdam||-14298,-1626
Communs|Potsdam||-16161,-1129
Conrad-Veidt-Str.|Potsdam||-7193,-4644
Daimlerstr.|Potsdam||-10846,-2048
Damaschkeweg|Potsdam||-11359,-3825
Dianastr.|Potsdam||-8441,-2390
Dichterhain|Potsdam||-15234,-1689
Dieselstr.|Potsdam||-10187,-2402
Domstr.|Potsdam||-9481,-1199
Donarstr.|Potsdam||-9956,-853
Dorfstr.|Potsdam||-21111,1452
Dortustr.|Potsdam||-13370,-1819
Drachenhaus|Potsdam||-15330,-491
Drevesstr.|Potsdam||-11690,-3154
Drewitz|Potsdam||-8752,-2919
Drewitzer Str.|Potsdam||-10082,-4556
Dürerstr.|Potsdam||-11814,156
Ebereschenweg|Potsdam||-19374,3975
Ebräerstr.|Potsdam||-13006,-1268
Eduard-Claudius-Str.|Potsdam||-10632,-4222
Eduard-von-Winterstein-Str.|Potsdam||-7544,-4373
Egon-Schultz-Str.|Potsdam||-10315,-2105
Ehrenpfortenbergstr.|Potsdam||-17869,-573
Eiche|Potsdam||-17540,-1134
Eichelkamp|Potsdam||-14593,2923
Eichenallee|Potsdam||-15693,-275
Eichenring|Potsdam||-17627,-13
Eichenweg|Potsdam||-9569,-2401
Eisenhartstr.|Potsdam||-12852,-331
Eleonore-Prochaska-Str.|Potsdam||-7960,-5070
Eltesterstr.|Potsdam||-12060,-1383
Erich-Pommer-Str.|Potsdam||-7485,-4261
Erich-Weinert-Str.|Potsdam||-10204,-4992
Erlenhof|Potsdam||-10259,-3759
Ernst-Lubitsch-Weg|Potsdam||-7218,-4389
Espengrund|Potsdam||-9133,-1304
Eulenkamp|Potsdam||-7602,-3408
Fahrlander Damm|Potsdam||-14886,3351
Fährstr.|Potsdam||-10366,2038
Falkenhorst|Potsdam||-10575,-3176
Feldweg|Potsdam||-19443,4051
Feldweg|Potsdam||-15384,-2081
Feuerbachstr.|Potsdam||-14383,-1428
Fichtenallee|Potsdam||-8581,-3727
Fichtestr.|Potsdam||-14812,-2159
Filchnerstr.|Potsdam||-9971,-1153
Finkenweg|Potsdam||-12839,-2687
Fischersteig|Potsdam||-19509,4306
Florastr.|Potsdam||-16064,1117
Flotowstr.|Potsdam||-7584,-2885
Fontanestr.|Potsdam||-9333,-1496
Forellensprung|Potsdam||-19650,4214
Försterweg|Potsdam||-8444,-2257
Forststr.|Potsdam||-16069,-2127
Franz-Mehring-Str.|Potsdam||-9381,-2297
Französische Str.|Potsdam||-12620,-1194
Freiligrathstr.|Potsdam||-9272,-1529
Freundschaftstempel|Potsdam||-15595,-1229
Freyaplatz|Potsdam||-9642,-936
Friedhofsgasse|Potsdam||-11954,-2414
Friedrich-Ebert-Str.|Potsdam||-12951,-900
Friedrich-Engels-Str.|Potsdam||-12332,-2133
Friedrich-W.-Murnau-Str.|Potsdam||-7165,-4288
Friedrich-Wolf-Str.|Potsdam||-10324,-4749
Friesenstr.|Potsdam||-10707,-2223
Fritz-Lang-Str.|Potsdam||-7192,-4322
Fritz-Zubeil-Str.|Potsdam||-9919,-2964
Fritze-Bollmann-Steig|Potsdam||-19705,4224
Fuldaer Str.|Potsdam||-8557,-3571
Fultonstr.|Potsdam||-10382,-2161
Gagarinstr.|Potsdam||-8371,-3300
Galileistr.|Potsdam||-7979,-3615
Garnstr.|Potsdam||-10867,-1571
Gartenstr.|Potsdam||-9747,-2738
Gaußstr.|Potsdam||-7039,-3763
Gerlachstr.|Potsdam||-7912,-4325
Gertrud-Kolmar-Str.|Potsdam||-7506,-5395
Geschwister-Scholl-Str.|Potsdam||-15632,-1886
