# -*- text -*-
# ----------------------------------------------------------------------------
Do, 22.10.1998
8594,8777     Dudenstr./Katzbachstr.             O->W       11:24:12
8598,9074     Katzbachstr./Monumentenstr.        S->N       11:25:10  11:24:45
8598,9269     Katzbachstr./Kreuzbergstr.         S->N                 11:25:45
8595,9495     Katzbachstr./Yorckstr.             S->N   60  11:26:00  11:26:10
7829,9723     Goebenstr./Kulmer Str.             O->W       11:28:32
7938,9694     Goebenstr./Mansteinstr.            O->W                 11:28:52
#                        Ankunft Franklinstr./Salzufer:  11:45:00

# ----------------------------------------------------------------------------
Do, 22.10.1998
5542,11075    Hardenbergplatz/Hardenbergstr.     N->S       14:44:10
5652,11004    Budapester Str./Kantstr.           W->O       14:44:50?
6216,10614    Tauentzienstr./Wittenbergpl (1)    W->O       14:47:25
6532,10529    Kleiststr./Martin-Luther-Str.      W->O       14:48:38  14:47:58
6753,10446    Kleiststr./Eisenacher Str.         W->O       14:49:30  14:48:55
7829,9723     Kulmer Str./Goebenstr.             N->O       14:54:05  14:53:25
8595,9495     Yorckstr./Katzbachstr.             NW->NO     14:56:15  14:55:50
#                        Ankunft Dudenstr./Methfesselstr.: 15:01:00

# ----------------------------------------------------------------------------
Sa, 24.10.1998
8982,8781     Dudenstr./Methfesselstr.           W->O   70  18:13:46
                                                                      18:15:28
                                                            18:16:06
                                                            18:17:16  18:17:46
                                                            18:19:36  18:20:08
                                                            18:20:46  18:21:18
9229,8785     Dudenstr./Mehringdamm              W->O   70            18:13:52
                                                            18:15:52  18:15:02
                                                                      18:16:12
                                                            18:18:12
8298,8774     Dudenstr./Loewenhardtdamm          O->W   60  18:22:53  18:22:20
8594,8777     Dudenstr./Katzbachstr.             O->W   70  18:22:25  18:22:53
8598,9269     Katzbachstr./Kreuzbergstr.         S->N   70  18:25:46  18:25:06
8598,9074     Katzbachstr./Monumentenstr.        S->N   70  18:25:42  18:25:15
8595,9495     Katzbachstr./Yorckstr.             S->N   60  18:27:00  18:27:10
8595,9495     Yorckstr./Katzbachstr.             NO->NW 60  18:32:20  18:29:55
9334,9670     Yorckstr./Mehringdamm              W->O   60  18:34:25  18:34:45
9790,9528     Gneisenaustr./Zossener Str.        W->O   60  18:35:57  18:36:23
9552,9602     Gneisenaustr./Nostitzstr.          W->O   60  18:36:40  18:37:05
10198,9405    Gneisenaustr./Baerwaldstr.         W->O   60  18:38:28  18:38:54
9334,9670     Mehringdamm/Gneisenaustr.          S->N   60  18:39:55  18:40:15
9416,10196    Mehringdamm/Tempelhofer Ufer       S->N   70  18:43:51  18:43:01
9873,10285    Zossener Str./Gitschiner Str.      S->N   70  18:47:55  18:48:12
10122,10294   Gitschiner Str./Alexandrinnens.    W->O   70  18:49:52  18:50:28
10605,10312   Gitschiner Str./Prinzenstr.        W->O   70  18:51:37  18:52:12
10357,9807    Baerwaldstr./Urbanstr.             N->S   70  18:56:03  18:56:22
10198,9405    Baerwaldstr./Gneisenaustr.         N->S   60  19:00:01  19:00:16
10564,9292    Gneisenaustr./Bergmannstr.         W->O   60  19:02:54  19:02:22
10713,9260    Gneisenaustr./Lilienthalstr.       W->O   60  19:03:56  19:03:26
9801,8683     Columbiadamm/Friesenstr.           O->W   70  19:09:50  19:10:25
9395,8726     Columbiadamm/Pl. der Luftbr.       O->W   70  19:13:04  19:13:35
9229,8785     Columbiadamm/Mehringdamm           O->W   70  19:14:11  19:14:33
9233,8597     Pl. der Luftbr./Te-Damm            O->W   70  19:17:44  19:17:56
9233,8597     Pl. der Luftbr./Te-Damm            N->S   70  19:19:18  19:18:47
9229,8785     Te-Damm/Columbiadamm (Auto)        S->N   70  19:20:34  19:21:01
9229,8785     Te-Damm/Columbiadamm (Rad)         S->N                 +5/10s?
9229,8718     Te-Damm/Manfred-v.-Richthofens.    N->S   70  19:21:31  19:21:04
9225,9038     Mehringdamm/Fidicinstr.            S->N       19:23:17  19:23:42
9248,9350     Mehringdamm/Kreuzbergs. (Auto)     S->N   70  19:24:38  19:25:10
9248,9350     Mehringdamm/Kreuzbergs. (Rad)      S->N                 +5s
9793,9241     Bergmannstr./Friesenstr.           W->S   70  19:31:20  19:28:21
9753,9252     Bergmannstr./Zossener Str.         W->O   70  19:28:20  19:27:46
9489,9309     Bergmannstr./Nostitzstr.           W->O       19:29:10  19:28:42
9248,9350     Kreuzbergstr./Mehringdamm          O->W   70  19:32:20  19:32:38
8598,9269     Kreuzbergstr./Katzbachstr.         O->W   70  19:34:07  19:34:27

# ----------------------------------------------------------------------------
Mo, 26.10.1998
8594,8777     Dudenstr./Katzbachstr.             O->W       12:24:42  12:25:12
7795,8765     Kolonnenstr./Hohenfriedbergstr.    O->W       12:27:00
7709,8777     Kolonnenstr./Naumannstr.           O->W                 12:27:48
7563,8871     Kolonnenstr./Czeminskistr.         O->W       12:28:10
7315,8941     Kolonnenstr./Crellestr.            O->W       12:29:30  12:28:55
7268,8960     Kolonnenstr./Hauptstr.             O->W       12:29:33
7101,9027     Belziger Str./Akazienstr.          O->W       12:32:22
6860,8878     Belziger Str./Eisenacher Str.      O->W   40  12:32:24  12:32:34
6460,8688     Belziger S./M.-Luther-S. (Auto)    O->W   60  12:35:00  12:35:07
6449,8807     M.-Luther-S./Badensche Str.        S->N       12:36:14
6440,9192     M.-Luther-S./Grunewaldstr.         S->N       12:37:37  12:37:02
6445,9538     M.-Luther-S./Barbarossastr.        S->N       12:38:12
6492,9782     M.-Luther-S./Hohenstaufenstr.      S->N       12:39:14
6499,10086    M.-Luther-S./Motzstr.              S->N       12:39:53
6494,10440    M.-Luther-S./Lietzenburger Str.    S->N                 12:40:45
6532,10529    M.-Luther-S./Kleiststr. (Auto)     S->N   70? 12:42:10  12:41:33
6532,10529    M.-Luther-S./Kleiststr. (Rad)      S->N   70? 12:42:10  12:41:25
6353,10583    Kleiststr./Bayreuther Str.         O->W                 12:43:55
4973,12256    Marchstr./Einsteinufer             SO->NO     13:00:48
5013,12323    Franklinstr./Salzufer              SW->NO 60  13:01:12  13:01:42

# ----------------------------------------------------------------------------
Mo, 26.10.1998
5013,12323    Franklinstr./Salzufer (Auto)       NO->SW     16:31:35
4973,12256    Marchstr./Einsteinufer             NO->SW     16:31:35
4763,11834    E-Reuter-Pl/O-Suhr-Allee (Rad 1)   O->S       16:33:28
4763,11834    E-Reuter-Pl/O-Suhr-Allee (Rad 2)   O->S       16:33:38
4737,11768    E-Reuter-Pl/Bismarckstr. (Rad)     N->S       16:34:42
5153,11357    Hardenbergstr./Steinplatz          NW->SO     16:36:14  16:35:46
5258,11285    Hardenbergstr./Fasanenstr.         NW->SO     16:37:11
5236,10994    Fasanenstr./Kantstr.               N->S       16:38:28
5090,11007    Kantstr./Uhlandstr.                O->W       16:38:53
5090,11007    Kantstr./Uhlandstr.                N->S       16:39:45
5047,10381    Uhlandstr./Lietzenburger Str.      N->S   60  16:40:38  16:40:53
5047,10381    Uhlandstr./Lietzenburger Str.      W->O   60  16:43:03
5313,10420    Lietzenburger Str./Meinekestr.     W->O       16:43:23
5458,10443    Lietzenburger S./Joachimsth. S.    W->O       16:44:27  16:43:52
6494,10440    Lietzenburger/Martin-Luther-S      W->O       16:48:37  16:47:52
6532,10529    M.-Luther-S./Kleiststr.            S->N       16:48:57
6753,10446    Kleiststr./Eisenacher Str.         O->W       16:49:28
7829,9723     Kulmer Str./Goebenstr.             N->O       16:54:35
8192,9619     Yorckstr./Bautzener Str.           W->O   70  16:56:16  16:55:46
8595,9495     Yorckstr./Katzbachstr. (Auto)      NW->NO 70  16:57:50  16:57:18
8595,9495     Yorckstr./Katzbachstr. (Rad)       NW->NO 70            16:58:02
8598,9269     Katzbachstr./Kreuzbergstr.         N->S   70  16:59:10  16:59:33
8598,9074     Katzbachstr./Monumentenstr.        N->S       17:00:26  17:01:03
8594,8777     Katzbachstr./Dudenstr.             N->S   70  17:02:39  17:01:54

# ----------------------------------------------------------------------------
Mo, 26.10.1998
9229,8785     Dudenstr./Tempelhofer Damm         W->O       21:07:48
9395,8726     Columbiadamm/Platz der Luftbr.     W->O       21:08:15
9801,8683     Columbiadamm/Friesenstr.           W->O       21:09:09
11632,8302    Columbiadamm/Fontanestr.           W->O       21:14:18  21:14:00
11898,8362    Flughafenstr./Hermannstr (Auto)    W->O       21:15:25? 21:14:50
11898,8362    Flughafenstr./Hermannstr (Rad)     W->O       21:15:25? 21:14:40
