######################################################################
# Uckermark
# Point name			    Real GPS	 BBBike data
20020607commented.wpt/109/	GPS 49385,107992 48380,108374
20020607commented.wpt/197/	GPS 53965,103566 52875,103948
20020607commented.wpt/201/	GPS 51123,104371 50119,104816
20020607commented.wpt/280/	GPS 50406,100808 49487,101147
20020607commented.wpt/284/	GPS 51944,100640 50875,101043
20020607commented.wpt/263/	GPS 46685,94871 45809,95211
20020607commented.wpt/261/	GPS 48269,93041 47329,93380
20020607commented.wpt/178/	GPS 64648,100560 63301,101133
20020607commented.wpt/194/	GPS 55959,100115 54912,100476
20020607commented.wpt/286/	GPS 53980,97765 53082,98169
20020607commented.wpt/291/	GPS 54270,92733 53351,93137
20020607commented.wpt/319/	GPS 46901,76788 46217,77149
20020607commented.wpt/336/	GPS 39800,73147 39202,73445
20020607commented.wpt/347/	GPS 32412,65263 31941,65497
20020607commented.wpt/364/	GPS 30042,56685 29742,56962
20020607commented.wpt/371/	GPS 32677,53193 32270,53469
20020421commented.wpt/155/Prenzlau+Feldberg	GPS 37575,100802 36805,101078
20020421commented.wpt/159/B109+Lychen	GPS 34635,97917 34016,98172
20020421commented.wpt/166/Haßleben-Boitzenburg	GPS 28462,90504 28077,90759
20020421commented.wpt/167/Haßleben-Greiffenberg+Haßleben Süd	GPS 28335,90014 27908,90247
20020421commented.wpt/172/Mittenwalde+Templin	GPS 26191,85445 25827,85594
20020421commented.wpt/181/	GPS 25119,78470 24799,78618
20020421commented.wpt/195/B109+Groß-Dölln	GPS 22331,66458 21989,66606
20020421commented.wpt/208/	GPS 18293,50540 18100,50753
20020421commented.wpt/219/B109+Kreuzbruch	GPS 14873,43623 14787,43709
20020421commented.wpt/229/B109+B273	GPS 13543,37500 13458,37500
20020607commented.wpt/134/	GPS 59102,106776 57842,107263
20020421commented.wpt/141/B198+Penkun	GPS 41183,100575 40393,100915
20020824commented.wpt/005/	GPS 19639,24590 19596,24696
20020824commented.wpt/010/	GPS 22168,29542 22103,29649
20020824commented.wpt/018/	GPS 23082,30973 22996,31101
20020824commented.wpt/022/	GPS 26200,39105 26072,39254
20020824commented.wpt/032/	GPS 37899,48256 37514,48575
20020824commented.wpt/038/	GPS 38809,51265 38467,51648
20020824commented.wpt/043/	GPS 42428,55559 41979,55899
20020824commented.wpt/050/	GPS 47554,63567 46891,63886
20020824commented.wpt/063/	GPS 48923,70970 48260,71374
20020824commented.wpt/074/	GPS 49771,90229 48937,90611
20020824commented.wpt/095/	GPS 11521,52168 11392,52253
20020824commented.wpt/098/	GPS 8917,51779 8810,51864
20020824commented.wpt/103/	GPS 7711,38832 7647,38853
######################################################################
# Usedom
# additional coordinates from GPS device (worldmap)
# DMS				standard/hafas
#N54 05 45.0	E13 22 51.6	5372,187894	# Greifswald
N54 08 20.1	E13 46 28.0	30765,193598	# Peenemünde
N53 58 34.2	E13 32 51.7	16208,174971	# Züssow
N54 00 48.9	E14 02 53.1	49119,179859	# Ückeritz
N53 56 24.4	E14 04 24.6	50953,171994	# Benz
N53 55 17.7	E14 00 48.3	46924,169640	# Mellenthin
#N53 52 22.2	E13 54 43.6	40917,164083	# Usedom (Stadt)
#N53 51 15.5	E13 40 49.4	26063,161834	# Anklam
N53 46 27.5	E13 53 51.7	39685,153225	# Leopoldshagen
N53 39 42.7	E13 53 11.0	39481,140963	# Ferdinandshof
#N53 30 04.3	E13 59 34.1	46656,123426	# Pasewalk
######################################################################
# Usedom
# using own GPS coordinates
# left coordinate: grabbed from info command (i) in bbbike
# right coordinate: the bbbike standard coordinate of the feature
E 13°41'00.8"	N 53°51'19.7"	25358,161768	# Anklam B110/B109
E 13°57'56.4"	N 53°33'39.9"	44804,129799	# B109, Knick bei Jatznick
E 13°46'43.0"	N 53°45'51.8"	31981,151844	# Ducherow
E 13°50'12.2"	N 53°51'59.9"	35517,163304	# Zecherin/nach Karnin
E 13°57'57.8"	N 53°53'34.3"	43922,166477	# B110/nach Suckow
E 13°56'16.3"	N 53°57'53.1"	41809,174534	# Liepe|Rankwitz
E 14°04'39.5"	N 53°58'55.9"	51048,176814	# Pudagla/nach Mellenthin
#E 13°50'40.2"	N 54°04'54.1"	34647,186824	# Mölschow XXX scheint schlecht zu sein
E 14°08'36.8"	N 53°58'18.2"	55492,175650	# Bansin/Promenade
E 14°09'44.2"	N 53°55'03.7"	56809,169618	# Korswandt
E 13°48'39.7"	N 54°03'38.9"	33200,184795	# B111/nach Mölschow
######################################################################
# Brandenburg
# additional coordinates from mapsource
# DMS				standard/hafas
N51 45 23.5	E14 19 44.1	76030,-70384	# Cottbus (Bahnhofstr.)
N51 34 41.0	E14 05 04.1	59812,-90762	# B96/B169
N51 51 29.6	E14 24 40.7	81382,-58814	# Peitz
N51 49 30.9	E14 08 41.6	63095,-63160	# Burg/nach Cottbus
N52 14 04.2	E12 58 39.4	-17997,-19419	# Beelitz
N52 10 16.8	E14 14 47.5	68848,-24420	# Beeskow
N52 48 50.5	E12 45 48.1	-33531,44845	# Fehrbellin nach Kremmen/Neur.
N53 27 34.1	E13 36 13.8	21391,117744	# Woldegk B198/B104 Ost
N52 30 23.1	E14 08 12.0	60087,12454	# Müncheberg
N51 51 59.2	E12 38 03.4	-40974,-60689	# Lutherstadt Wittenberg
N52 20 49.6	E14 33 05.0	88867,-4205	# Frankfurt Karl-Marx/Rosa-Lux.
N52 33 21.0	E14 33 05.0	88082,19208	# Manschnow
N52 09 07.6	E14 37 22.1	94664,-25540	# B246/B112 Eisenhüttenstadt
N51 57 35.4	E14 42 08.8	100909,-46980	# Guben
N52 08 28.0	E12 34 55.5	-44936,-30159	# Belzig/nach Görzke
N52 56 45.1	E12 50 54.6	-28166,59592	# Alt Ruppin
N53 11 35.0	E13 08 42.5	-8614,87100	# Fürstenberg/nach Lychen
N52 53 47.1	E13 09 02.3	-7529,54368	# Löwenberg
N53 23 17.0	E13 20 24.5	3947,109348	# Möllenbeck
N51 59 24.2	E13 05 14.9	-9944,-46550	# Jüterbog
N51 56 16.3	E13 53 22.1	45174,-51468	# Lübben
N51 44 14.5	E14 38 21.4	97577,-71746	# Forst
N52 42 34.8	E14 07 52.2	59111,35228	# Wriezen/nach Strausberg
N52 36 19.0	E12 20 15.5	-62018,21349	# Rathenow
N53 16 31.6	E12 48 56.0	-30799,96011	# Mirow
N52 24 07.3	E12 35 25.2	-44731,-1198	# B102/B1 bei Schmerzke
N52 15 03.5	E13 55 50.4	47007,-16298	# B246/nach Storkow
N52 02 41.9	E13 30 07.9	18264,-39923	# Baruth
N51 34 01.5	E14 22 12.4	79584,-91190	# Spremberg
N53 12 34.3	E13 18 55.5	2780,89449	# Lychen
N53 07 08.0	E13 30 17.8	15659,79367	# Templin
N52 35 39.5	E13 53 32.0	43196,21781	# Strausberg/nach Heidekrug
N52 21 58.8	E14 02 25.9	54148,-3125	# Fürstenwalde/nach Fangschle.
N53 01 31.8	E11 47 08.1	-99391,67655	# Weisen
N52 05 30.0	E13 10 21.4	-4357,-35235	# Luckenwalde
N53 04 39.7	E11 52 24.5	-93642,73595	# B189/B5 Perleberg
N52 33 50.7	E13 43 38.7	32231,18261	# Altlandsberg
N52 34 50.0	E14 01 56.2	52679,20478	# Kreuzung bei Bollersdorf
N52 25 36.3	E13 44 57.8	34198,2817	# Erkner
N52 17 21.9	E12 51 14.4	-26573,-13679	# Klaistow
N53 05 58.8	E12 53 32.8	-25327,76595	# Rheinsberg
N52 53 37.2	E11 45 09.4	-101767,52956	# Seehausen/Altmark
N51 03 52.0	E13 44 47.9	37860,-148558	# B6/B97 bei Dresden
N51 35 30.5	E12 35 05.4	-44313,-91277	# Bad Düben
N53 36 57.7	E10 20 27.2	-195040,134461	# Großensee
N54 18 59.1	E13 21 04.1	2535,212391	# Garz/Rügen
N54 23 55.7	E13 23 22.5	4988,222035	# B96/B196 westlich von Bergen
N54 22 06.9	E13 35 44.1	19152,218503	# Puttbus-Sellin/B196
N54 12 43.3	E13 14 48.4	-3734,201011	# Reinberg
N54 14 32.1	E12 27 30.6	-55516,203676	# Ribnitz/nach Marlow
N54 05 28.3	E12 09 42.7	-74752,186426	# Rostock B103/B105
N53 30 22.2	E10 28 41.6	-186127,122132	# Schwarzenbek
N51 57 45.3	E11 26 42.0	-122773,-50367	# B180/B81 nördl. Egeln
N51 45 33.6	E11 27 41.4	-122054,-73035	# Aschersleben
N53 19 09.8	E11 29 59.8	-118541,100691	# B5/B191 südl. Ludwiglust
N51 47 52.0	E11 08 14.6	-143971,-68623	# B6/B79 nördl. Quedlinburg
N51 41 46.2	E13 14 58.2	1730,-79047	# B87/B101 bei Herzberg
N51 30 53.6	E13 23 32.4	12093,-98965	# Bad Liebenwerda
N51 17 42.6	E13 32 06.6	22488,-123319	# Großenhain
N51 59 24.2	E14 18 25.0	73638,-44499	# B168/B320 nordöstl. Lieberose
N53 33 39.9	E13 21 23.9	4710,128564	# B104/B197 östl. Neubrandenburg
N53 55 05.3	E13 01 37.3	-17806,167778	# Demmin/nach Wendisch Baggendorf
N53 56 44.2	E13 22 33.1	4944,171472	# B96/B111 nördl. Jarmen
N54 06 37.5	E13 03 26.1	-17326,189190	# B194/bei Grimmen
N54 18 19.5	E13 03 55.8	-16057,210966	# B105/B194 westl. Stralsund
N51 52 09.1	E13 25 31.1	13467,-59552	# Dahme
N51 30 14.1	E14 38 21.4	98539,-97804	# Weißwasser
N51 27 55.6	E13 31 46.8	21693,-104405	# B169/B101 nördl. Elsterwerda
N51 36 29.8	E12 17 57.1	-63853,-89612	# B184/B100 bei Bitterfeld
N53 31 11.6	E12 40 51.5	-40176,123310	# Waren
N53 22 27.6	E10 32 48.7	-181820,107469	# B209/B5 bei Lauenburg
N51 50 00.6	E10 46 49.2	-168663,-64367	# Wernigerode
N51 44 40.5	E10 41 08.7	-175343,-74041	# Elend
N53 26 15.0	E10 22 25.8	-193239,114589	# Geesthacht
N52 08 28.0	E11 37 44.5	-109456,-30762	# Magdeburg
N53 40 35.2	E10 14 51.0	-201250,141784	# Ahrensburg/nach Grossensee
N51 51 59.2	E11 05 46.3	-147066,-60291	# B79/bei Harsleben
N51 20 40.6	E12 22 34.0	-58399,-118945	# Leipzig
